COMMODITY,APRIL,MAY,JUNE,JULY,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,TOTAL
APPLE,1918.6,3311.2,2153.7,2879.8,665.6,163.2,176.7,359.2,484.3,724.0,1019.6,1501.0,15356.9
AMROOD,28.0,23.1,18.2,13.8,13.9,16.1,19.4,21.8,17.7,21.6,19.1,10.8,223.5
POMEGRANATE,17.6,27.1,24.4,,,,236.7,222.3,4.1,,,,532.2
APRICOT,,,,13.0,8.0,,,,,,,,21.0
IMLI,,8.5,2.5,8.6,,1.0,9.9,28.0,18.4,36.8,11.8,18.3,143.8
GRAPES,80.9,37.3,63.5,58.8,72.5,97.9,176.0,204.1,145.5,186.8,94.6,42.9,1260.8
KIWI,217.6,119.7,80.4,142.2,142.8,189.6,154.7,253.4,164.6,308.0,372.3,287.3,2432.6
MALTA,0.5,2.2,,0.1,4.7,16.5,,,,,3.3,9.4,36.7
ORANGE,184.8,254.1,221.4,304.3,159.6,185.0,168.6,122.6,48.4,79.5,159.4,107.6,1995.3
MANGO,2.9,,,4.7,76.8,953.0,99.1,,,,,,1136.5
MANGO ST,2.4,3.5,2.3,2.1,2.2,1.5,2.1,1.8,2.1,2.4,3.6,2.3,28.3
MELON,1.5,4.9,2.5,0.9,1.4,2.0,9.4,10.6,2.2,1.0,1.6,1.7,39.7
DATE,378.0,1061.6,802.8,691.1,63.4,155.6,674.8,1049.1,1759.5,634.7,495.5,361.9,8128.0
PEARS,286.3,272.5,203.8,134.7,38.9,303.0,295.5,285.2,225.0,229.7,338.4,414.7,3027.7
PEACH,2.2,2.8,,3.0,,4.8,,0.1,0.4,2.1,,,15.4
B.GOSHA,,,,,,3.5,,,3.2,,3.9,2.1,12.7
NAKH,94.2,130.2,44.8,46.0,41.3,123.5,82.8,140.6,103.1,171.1,113.6,110.3,1201.5
ASPERAGUS,5.8,3.5,2.8,1.9,1.2,1.1,0.8,2.1,1.4,1.9,1.4,3.4,27.3
LITCHI,13.5,7.8,7.0,6.4,4.1,6.5,6.6,3.7,6.8,6.1,7.8,1.6,77.9
PLUM,17.4,9.1,0.5,8.2,31.1,32.4,56.1,42.0,36.5,30.2,38.6,14.5,316.6
DRAGAN,5.5,3.1,4.1,3.6,5.8,5.2,4.6,2.5,27.9,71.9,77.1,22.2,233.5
YAPEAR,4.6,1.5,1.0,6.6,,5.7,4.2,6.8,9.3,3.0,6.6,0.7,50.0
CHERRY,,,1.5,5.0,10.6,0.6,,3.6,9.4,19.9,6.0,,56.6
SHANDONG,33.2,11.5,3.8,7.8,1.0,22.5,26.6,37.5,35.7,41.6,26.1,34.3,281.6
MOSAMBI,1.5,,,,,,,,,,,,1.5
LAMBODANA,4.2,3.6,1.0,1.0,1.2,1.7,,0.3,0.5,2.9,0.6,,17.0
W.MELON,,,,4.0,,,,,,,18.0,,22.0
STRAWBERRY,,,0.1,,,,,0.4,,,,,0.5
C.APPLE,,,,,,,,1.9,,,,,1.9
KINNOO,,,,,,2.5,3.0,29.7,30.5,34.9,,3.0,103.6
FIG,,,,,,,,,,,,,0.0
SARDHA,1.7,,,,,48.1,106.4,6.5,,,,,162.7
M.GINGER,,,,151.9,48.5,,,,,,,,200.4
ONION,,,,,,,,,,,,,0.0
TOTAL,3302.9,5298.8,3642.1,4499.5,1394.6,2342.5,2314.0,2835.8,3136.5,2610.1,2818.9,2950.0,37145.7
COMMODITY,APRIL,MAY,JUNE,JULY,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,TOTAL
POTATO,34775.0,27380.2,23628.6,29979.5,30524.9,36030.6,31810.4,44392.4,46289.8,42550.8,38098.3,43302.8,428763.3
AMLA,259.7,56.2,41.3,55.0,91.1,249.8,702.8,1408.0,1818.1,1187.2,998.5,662.2,7529.9
ARVI,1616.2,8019.8,8456.2,4031.9,3006.0,1535.5,508.1,339.2,321.5,402.7,578.9,905.4,29721.4
ARVI LEAES,,0.4,,2.9,3.4,1.4,4.1,,,,,,12.2
AMRAH,1.6,,,0.8,4.3,2.3,,,,,,,9.0
BRINJAL,2500.7,2141.5,1512.6,2302.3,2817.8,2496.8,2460.5,2040.9,1822.5,2203.9,3237.2,2819.3,28356.0
LADY FINGER,4948.7,3459.4,3020.4,2802.8,2383.2,2003.1,1261.7,492.2,1185.1,2114.6,2476.6,3789.4,29937.2
BATHUA,1.6,3.3,,1.6,6.4,,5.9,80.3,372.1,386.1,191.6,64.6,1113.5
BEEN,3333.3,910.4,675.7,1403.4,1015.0,1184.4,1102.2,766.3,927.7,2460.3,2466.7,2186.1,18431.5
BAKLA,2.6,1.9,,,0.1,3.5,,,1.1,,64.3,102.2,175.7
BROKLI,107.2,124.9,52.8,13.0,17.1,16.2,30.3,68.7,63.1,68.4,78.6,85.3,725.6
CABBAGE,2405.7,2794.2,4743.0,5922.7,5662.3,6456.0,6622.0,6088.3,4795.4,2970.4,2727.3,3254.9,54442.2
CHUKANDAR,359.2,338.5,189.2,319.7,517.9,474.5,387.8,470.8,614.5,772.5,912.8,512.1,5869.5
CHHOLIA PLANT,99.7,,,,,,,,,0.5,375.1,636.5,1111.8
CHHOLIA DANA,60.4,0.1,,,3.1,,,13.9,105.4,202.8,375.5,355.7,1116.9
CHHOLIA LEAVES,1.8,,,,,,,,1.2,0.5,0.1,,3.6
CHOLAI,36.2,60.1,78.1,85.1,75.1,56.5,9.7,5.8,7.9,0.1,0.3,0.2,415.1
CHONGA,,,,,,,,,,,,,0.0
CHIRCHINDA,8.3,5.3,13.1,42.7,54.8,26.5,2.9,3.0,,8.2,4.9,3.7,173.4
CUCUMBER,9021.8,11689.4,7287.1,5602.2,6774.0,4908.4,4493.2,7733.1,9660.5,6827.7,5580.1,7046.5,86624.0
M.CHILLI,11095.0,6810.8,4727.5,4193.6,3719.7,4463.3,8198.4,13535.4,16938.0,15968.9,15135.3,17644.7,122430.6
CARROTS,2612.4,2048.9,1802.5,1700.0,1738.2,1689.4,2452.5,9398.7,12685.6,11790.4,10199.6,4514.4,62632.6
