COMMODITY,APRIL,MAY,JUNE,JULY,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,TOTAL
APPLE,1987.2,4096.5,3580.3,3276.9,424.7,108.3,160.0,214.6,321.4,332.7,702.2,1027.0,16231.8
AMROOD,22.7,18.3,42.3,19.3,13.6,10.8,21.4,25.0,18.9,15.5,17.3,8.5,233.6
POMEGRANATE,,1.2,,,,,323.6,159.2,,,,20.6,504.6
APRICOT,,,,1.9,,,,2.4,,,,,4.3
IMLI,28.4,21.4,9.1,27.1,4.0,10.0,17.8,24.9,7.0,17.0,35.4,4.6,206.7
GRAPES,166.3,85.4,52.4,59.8,58.0,88.3,258.1,206.7,120.8,104.9,151.2,49.6,1401.5
KIWI,273.7,283.0,141.7,175.6,184.1,325.3,314.7,368.8,225.5,179.9,382.7,295.0,3150.0
MALTA,17.4,42.5,23.3,9.6,30.0,11.5,63.6,7.7,,0.8,7.9,84.2,298.5
ORANGE,169.5,411.0,256.1,98.3,211.3,215.9,329.9,66.5,22.4,49.2,155.3,102.8,2088.2
MANGO,0.2,,14.1,22.2,773.7,1605.2,123.2,0.7,,,,,2539.3
MANGO ST,1.8,1.7,3.0,1.0,2.3,2.6,1.7,2.4,3.2,3.0,2.5,1.0,26.2
MELON,1.0,8.9,37.6,0.5,35.6,76.6,68.6,48.9,17.5,2.0,17.4,2.5,317.1
DATE,601.6,612.7,1471.0,350.7,52.7,159.0,567.5,821.2,801.7,628.6,807.1,386.6,7260.4
PEARS,444.2,294.7,204.1,45.6,272.1,208.0,326.5,323.3,159.1,145.1,356.2,302.2,3081.1
PEACH,3.6,4.3,,,,,3.4,0.4,0.5,0.4,,1.2,13.8
B.GOSHA,,1.2,,,3.6,12.0,,,1.0,,,,17.8
NAKH,56.9,44.3,54.1,32.4,16.0,15.6,61.2,158.4,46.0,50.8,111.9,16.2,663.8
ASPERAGUS,17.9,5.3,3.3,1.4,2.1,2.2,3.6,3.7,3.7,1.8,1.4,2.3,48.7
LITCHI,6.2,3.6,6.0,6.5,3.7,4.5,1.0,3.2,3.5,3.9,3.0,2.6,47.7
PLUM,38.5,14.7,3.1,2.0,38.3,24.6,45.5,49.1,21.8,1.9,19.3,14.6,273.4
DRAGAN,41.0,35.6,27.5,3.2,6.4,3.0,25.6,24.7,29.4,36.6,61.6,25.6,320.2
YAPEAR,3.0,,,,,5.3,4.9,5.3,13.2,35.6,55.3,18.4,141.0
CHERRY,,1.5,3.6,7.1,5.4,,,3.1,10.1,7.6,4.1,0.8,43.3
SHANDONG,12.6,11.6,0.2,,,15.4,32.3,31.9,41.5,61.0,73.3,35.2,315.0
MOSAMBI,,,,47.7,34.0,44.9,15.0,,,,,,141.6
LAMBODANA,0.6,1.4,,,,,1.6,3.5,4.5,3.3,6.5,2.6,24.0
W.MELON,,,,,,1.0,15.0,,,,,,16.0
STRAWBERRY,,,,,,,,1.9,,,,,1.9
C.APPLE,,,,,,,,6.7,6.3,,,,13.0
KINNOO,,,,,,11.3,43.0,8.3,,,,,62.6
FIG,,,,,,,,,,,,,0.0
RAMBRITAN,,,,,,,,,,,0.2,,0.2
AVACADA,,,,,,,,,,1.2,0.2,,1.4
SARDHA,,,,16.8,16.3,12.2,31.7,11.9,,,,,88.9
M.GINGER,,,,,191.4,,,,13.9,30.2,,,235.5
ONION,,,,,,6635.4,935.6,310.4,,,,,7881.4
TOTAL,3894.3,6000.8,5932.8,4205.6,2379.3,9608.9,3796.0,2894.8,1892.9,1713.0,2972.0,2404.1,47694.5
COMMODITY,APRIL,MAY,JUNE,JULY,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,TOTAL
POTATO,35774.1,33057.2,32505.1,36698.6,35562.2,36518.2,43244.4,48990.2,45482.1,40950.9,36203.9,38851.0,463837.9
AMLA,322.3,84.5,106.6,79.9,137.9,217.4,660.6,1077.9,1758.6,1077.7,932.9,646.6,7102.9
ARVI,1975.4,7617.0,6786.7,5261.0,3570.2,2072.7,1284.0,588.6,463.2,481.1,708.1,1223.6,32031.6
ARVI LEAES,,,0.8,10.1,8.4,3.5,1.5,,,,,,24.3
AMRAH,,,10.2,,12.2,2.1,0.2,,,,,,24.7
BRINJAL,2715.8,1703.4,2274.9,2325.5,2826.9,2717.7,2628.4,2106.2,1564.1,1639.9,2309.3,2807.0,27619.1
LADY FINGER,5230.0,2711.8,2850.7,3110.5,2950.6,2048.2,1819.5,656.3,1388.3,1850.2,3050.9,4995.2,32662.2
BATHUA,31.8,,,0.8,2.4,24.7,56.2,99.3,487.7,437.6,189.9,21.1,1351.5
BEEN,3500.2,1120.6,820.2,1415.4,1633.3,1100.2,848.5,918.8,1147.9,2390.6,2816.1,3631.0,21342.8
BAKLA,1.8,1.0,1.7,1.6,0.8,,0.8,7.8,1.4,8.6,88.5,111.9,225.9
BROKLI,124.6,94.8,47.3,24.5,47.5,29.2,41.4,75.9,96.2,158.0,187.5,147.8,1074.7
CABBAGE,3383.8,3854.3,4867.9,5021.0,5751.0,5660.8,4852.4,5213.1,5664.2,4000.8,2122.3,2362.5,52754.1
